country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Nigeria,3070,3170,3570,3730,3970,4120,4260,4420,4600,4840,5090,5210,5290,5500,5690,5690,5450,5350,5320,5300
North Korea,1620,1670,1680,1700,1720,1770,1750,1710,1760,1730,1710,1720,1730,1740,1750,1720,1720,1720,1720,1720
North Macedonia,8620,8320,8420,8590,8980,9390,9850,10500,11000,11000,11400,11600,11500,11900,12300,12800,13100,13100,13500,13900
Norway,58000,59000,59500,59700,61700,62900,63900,65100,64600,62700,62400,62100,63000,62900,63400,64000,64200,65000,65400,66300
Oman,44000,45400,44100,42000,41500,41500,42500,43100,45100,45700,45300,41900,42600,41300,39700,39200,39200,37300,36800,35800
Pakistan,3400,3380,3410,3490,3660,3850,4000,4100,4070,4100,4070,4100,4150,4240,4350,4460,4610,4770,4930,5000
Palau,12400,13000,13300,12800,13400,14000,13900,14300,13900,13300,13600,14500,15100,14900,15500,17100,17200,16500,17200,17400
Palestine,3690,3260,2780,3090,3330,3590,3360,3500,3610,3820,4020,4410,4570,4560,4450,4490,4600,4650,4670,4670
Panama,10600,10500,10500,10800,11300,11900,12700,14000,15100,15000,15600,17100,18500,19400,20000,20800,21500,22200,22700,23300
Papua New Guinea,2620,2560,2500,2500,2520,2620,2620,2840,2770,2880,3100,3070,3150,3200,3560,3820,3900,3880,3820,3930
Paraguay,7980,7760,7620,7800,7980,8020,8280,8610,9030,8880,9740,10000,9830,10500,10900,11100,11400,11800,12100,12000
Peru,6430,6390,6660,6870,7140,7530,8020,8640,9350,9380,10100,10600,11200,11700,11900,12100,12400,12500,12800,13000
Philippines,4220,4260,4320,4440,4650,4780,4940,5180,5300,5270,5580,5690,5970,6280,6560,6850,7210,7580,7940,8260
Poland,14700,14900,15200,15800,16600,17200,18300,19600,20400,21000,21800,22900,23200,23600,24400,25300,26100,27300,28800,29900
Portugal,26000,26300,26400,26000,26400,26600,27000,27600,27600,26700,27200,26800,25800,25700,26000,26600,27200,28000,28700,29300
Qatar,108000,108000,111000,109000,117000,110000,117000,116000,116000,113000,120000,124000,120000,118000,117000,116000,114000,113000,113000,113000
Romania,10400,11100,12000,12300,13700,14400,15700,17100,19000,18100,17500,17900,18400,19100,19800,20700,21800,23400,24500,25500
Russia,14100,14800,15600,16800,18100,19300,21000,22800,24000,22100,23300,24300,25200,25600,25300,24500,24400,24800,25400,25700
Rwanda,803,840,929,935,990,1060,1140,1190,1290,1340,1400,1470,1560,1590,1670,1770,1830,1890,2000,2110
Samoa,4330,4610,4780,4960,5160,5340,5410,5720,5740,5420,5410,5670,5650,5490,5520,5570,5940,6070,6090,6240
San Marino,75600,78700,78000,79900,82500,83400,85500,90500,90800,78200,73600,65700,59900,57300,56100,55900,56700,57300,57600,57800
Sao Tome and Principe,1960,1970,1980,2070,2110,2200,2340,2350,2470,2460,2560,2610,2640,2710,2840,2890,2950,3010,3030,3050
Saudi Arabia,43300,41700,39400,42500,44600,45700,45700,45300,46800,44500,45400,48500,49500,49400,49700,50500,50200,48800,49000,48100
Senegal,2420,2470,2430,2520,2610,2680,2680,2740,2770,2760,2780,2740,2800,2800,2900,3000,3100,3230,3360,3460
Serbia,7940,8350,8950,9370,10200,10800,11900,12800,13500,13200,13400,13700,13700,14200,14000,14300,14900,15300,16000,16700
Seychelles,18500,18000,17700,16800,16400,17800,19100,21000,20100,19800,20400,22600,22600,23500,24200,24900,25600,26400,27100,27800
Sierra Leone,909,821,993,1040,1060,1060,1070,1130,1160,1170,1210,1260,1410,1670,1710,1330,1380,1400,1430,1460
Singapore,52400,50400,51900,55100,59700,62600,66200,69200,66800,64900,73100,76000,77500,79900,82000,83300,84700,87800,90100,90100
Slovak Republic,15600,16200,16900,17800,18800,20000,21700,24100,25400,24000,25200,25800,26200,26600,27300,28400,29200,30100,31300,32100
Slovenia,22700,23400,24200,24900,26000,27000,28400,30200,31100,28500,28700,28800,28000,27600,28400,29000,29900,31400,32700,33700
Solomon Islands,1820,1630,1540,1600,1630,1680,1760,1840,1930,1800,1870,2070,2100,2110,2100,2090,2110,2130,2140,2150
Somalia,603,603,607,611,614,616,615,615,615,615,614,614,616,619,621,623,625,627,629,631
South Africa,9700,9830,10100,10200,10600,11000,11500,11900,12100,11800,12000,12200,12300,12400,12400,12400,12200,12200,12100,12000
South Korea,20800,21500,23000,23500,24600,25500,26700,28000,28600,28600,30400,31200,31800,32500,33400,34200,35000,35900,36800,37300
South Sudan,2800,2890,2980,3110,3180,3360,3610,3920,3940,3960,4010,3700,1940,2140,2170,1910,1680,1850,1770,1860
Spain,30000,31000,31400,31800,32300,32900,33700,34300,34200,32700,32500,32100,31100,30700,31200,32400,33400,34300,35100,35700
Sri Lanka,5540,5420,5590,5870,6140,6470,6910,7330,7710,7930,8500,9160,9980,10200,10600,11100,11400,11700,12000,12100
St. Kitts and Nevis,22000,22900,23200,22100,22700,24600,25100,24900,26300,25200,24600,24800,24400,25500,26800,27200,27600,27700,28300,29000
St. Lucia,10700,10200,10200,10500,11200,11100,11600,11700,12100,11800,11700,12000,11900,11600,11600,11600,12000,12300,12300,12500
St. Vincent and the Grenadines,7560,7680,8160,8760,9110,9330,10000,10400,10600,10400,10000,9970,10100,10300,10400,10500,10600,10700,10900,11200
Sudan,2320,2400,2490,2610,2630,2750,2950,3190,3350,3370,3400,3640,4070,4150,4160,4260,4360,4440,4460,4510
Suriname,9800,10100,10300,10800,11600,11900,12500,13000,13300,13600,14100,14800,15000,15300,15200,14500,13500,13600,13800,13900
Sweden,36900,37400,38000,38800,40300,41300,43000,44100,43500,40900,43000,43800,43400,43500,44200,45700,46300,46700,47200,47200
Switzerland,50800,51100,50800,50500,51500,52800,54500,56300,56800,54800,55900,56200,56200,56500,57200,57300,57600,58000,59000,59000
Syria,5130,5210,5420,5220,5460,5650,5750,5860,5920,6120,6290,5980,4830,4120,3540,3050,3090,3100,2900,2900
Tajikistan,1190,1280,1390,1520,1640,1720,1810,1910,2020,2050,2140,2250,2360,2480,2580,2670,2790,2920,3060,3150
Tanzania,1570,1620,1690,1750,1830,1910,1980,2050,2110,2160,2230,2330,2360,2450,2540,2610,2710,2810,2920,2980
Thailand,9190,9420,9920,10500,11100,11500,12000,12600,12800,12600,13500,13500,14500,14800,14900,15300,15700,16300,16900,17400
Timor-Leste,3270,3500,3180,3060,4900,6500,9020,9310,10000,9280,9010,9860,10200,8890,6470,7660,7570,6740,6800,7050
Togo,1240,1180,1140,1170,1160,1150,1160,1160,1170,1200,1240,1290,1340,1380,1420,1470,1500,1530,1570,1610
Tonga,4610,4750,4880,4960,4910,4950,4880,4630,4740,4820,4990,5150,5240,5120,5270,5480,5640,5750,5700,5900
